,lc_min,lc_max,lc_mean,lc_std,lc_p5,lc_perc50,lc_perc95,tic_id
730,5574.9130859375,5932.03759765625,5731.142899520168,54.85074579454674,5631.7901611328125,5732.7890625,5823.3282470703125,420582698
731,3645.278076171875,4266.3349609375,3947.261355992759,173.9953350638285,3699.618481445312,3935.61328125,4206.352954101562,438838902
732,6763.03515625,8344.34375,7505.118453801831,360.57972616927606,6992.301293945313,7474.510498046875,8055.326245117187,439168784
733,4457.6513671875,5407.0087890625,4745.359444101379,102.88968219818419,4582.883203125,4753.343017578125,4895.673974609374,443480340
734,3247.7099609375,4410.95068359375,3469.4299053384652,121.38146275187889,3293.5624511718747,3476.93798828125,3635.2136474609374,449671660
735,3797.095703125,4723.27685546875,4214.608334257725,253.01288736692976,3899.589794921875,4169.751953125,4639.8376953125,454665792
736,14958.2060546875,16289.9404296875,15562.74307528409,322.47894733242003,15109.77734375,15589.19140625,16104.5615234375,455000299
737,13093.3125,17040.248046875,15170.42788697388,1271.1546588117983,13198.631445312501,15294.4404296875,16833.6599609375,460323913
738,1504.9068603515625,1920.98291015625,1562.5435158556563,19.991649778663763,1531.722802734375,1563.302978515625,1592.7957275390625,461307978
739,4827.076171875,5354.13427734375,5080.084993342382,119.03254944485738,4886.33984375,5079.42333984375,5277.24365234375,2926575
740,1072.22998046875,1379.80859375,1208.0743670598708,53.94083852633756,1112.4886474609375,1219.7733154296875,1280.6904296875,8373961
741,5033.59619140625,6050.4482421875,5477.913215905578,301.0203729830181,5094.586376953125,5432.7021484375,5948.325756835937,46937596
742,5537.57568359375,6042.6640625,5634.003870890738,40.66284231881719,5579.50390625,5624.51806640625,5706.353515625,58582428
743,5329.6416015625,6356.7607421875,5696.793320860663,137.7377171804871,5465.61455078125,5708.67138671875,5917.1716796875,58832313
744,13921.173828125,15716.8642578125,14667.467693886934,561.4953594521716,14000.1396484375,14536.33203125,15568.4150390625,59017926
745,7229.49951171875,8038.7744140625,7411.046604876381,95.88026350273199,7290.78857421875,7386.31640625,7575.4033203125,59500324
746,2814.028076171875,3558.708740234375,3232.629477642621,142.5739931583418,3004.19482421875,3256.100830078125,3432.446533203125,95282711
747,7378.845703125,8381.7763671875,7840.276558662416,195.3322399327259,7454.00439453125,7926.55078125,8049.0205078125,95977956
748,2148.642333984375,2508.93994140625,2264.961452324021,50.07856011156784,2187.564453125,2260.767578125,2351.107177734375,99210610
749,5207.2353515625,5625.38232421875,5404.220850439711,95.52481715755867,5249.42236328125,5434.6142578125,5518.603515625,99324893
750,4166.31005859375,5548.697265625,4780.268995721679,259.33271883661234,4394.4957275390625,4777.27978515625,5186.248754882812,103020281
751,4293.57177734375,5186.47412109375,4834.714698319067,223.0525709804093,4469.20595703125,4902.7939453125,5111.613476562499,152377452
752,1521.357421875,1816.2081298828125,1717.0799719371134,33.10110665809788,1654.814013671875,1722.188720703125,1762.629040527344,167808509
753,7093.9345703125,7985.37158203125,7669.200103610217,193.81565382327452,7351.986425781251,7720.9306640625,7907.13330078125,170986304
754,5225.0556640625,5795.3984375,5471.293765295108,145.13877557637616,5301.33349609375,5418.8759765625,5728.71787109375,173560788
755,9697.169921875,13662.10546875,10019.358198936092,156.32023763116348,9818.3642578125,9984.55859375,10252.55,173871956
756,1044.984375,1342.8341064453125,1192.9016991276308,64.35818845613856,1094.0552978515625,1186.578857421875,1302.1612548828125,175637609
757,5089.41650390625,5764.244140625,5178.087612073624,32.301369788710915,5132.87890625,5177.52197265625,5221.609375,176463845
758,1878.1279296875,3291.600341796875,2185.9727149799623,78.10632844240155,2045.27392578125,2201.033935546875,2301.095458984375,179058103
759,6026.43701171875,6450.21435546875,6228.337983445982,73.06246685694286,6102.9912109375,6230.677734375,6340.23974609375,179609529
760,11560.19921875,12751.0380859375,12234.191679274823,277.3728888410392,11828.548046875,12226.3017578125,12668.765234375,179622269
761,3569.059814453125,5628.73779296875,4312.0537764866585,421.8697958131598,3738.200634765625,4226.595458984375,5113.471044921874,200624064
762,5851.85888671875,6720.26953125,6101.605505228817,117.51370082625918,5912.31005859375,6116.17236328125,6266.1259765625,211459804
763,665.5027465820312,924.2235717773438,777.0103120436638,42.803929731695426,709.0111450195313,780.398193359375,839.2441162109375,221355243
764,8509.63671875,10263.4716796875,9355.320738109314,355.60218046410984,8813.564746093749,9368.9443359375,9911.015820312501,246047409
765,5341.27294921875,6911.0703125,5832.595823136595,204.29791540127943,5524.723925781251,5831.55908203125,6130.864453124999,254365686
766,10708.5791015625,12242.01171875,11048.757975270775,135.41402391402954,10807.828515625,11090.5791015625,11219.290625,254740868
767,6204.2265625,6837.6533203125,6530.0587913869085,153.13571093587987,6289.2369140625,6534.2880859375,6764.83193359375,254771977
768,4368.982421875,6000.34375,4719.244033941272,213.54422291412737,4411.653857421875,4727.566162109375,5012.6501953125,258101273
769,3546.13916015625,6619.033203125,6429.8984390463265,486.15143305208187,5509.083349609375,6550.092529296875,6573.3865966796875,261136311
770,14378.02734375,20786.021484375,14830.467901191107,293.2369566348105,14533.642578125,14766.861328125,15161.7578125,280351891
771,14380.8359375,15869.337890625,14806.818288345488,223.84028367463608,14465.9052734375,14830.318359375,15146.541015625,280352117
772,5233.70849609375,9989.431640625,8192.155500367167,1467.7376230166344,5480.310302734375,8683.3779296875,9846.90390625,290410988
773,1592.82275390625,1885.1263427734375,1743.5141082377177,66.00644736902362,1636.98798828125,1754.1180419921875,1831.673583984375,294993587
774,6752.17626953125,10687.9501953125,8170.999806619769,1202.0755180279345,6821.311791992188,7824.44873046875,10491.889453124999,298112357
