,tic_id,Rsq_k,R_avg,B_k,P_avg,P_k,A_avg,A_k,B_avg
896,160600404,[0.99591347 0.99509472 0.99320299 0.98400676],0.9920544835237746,[0.44630204 0.44191677 0.44869    0.48750766],4192.300886428384,[4190.23603981 4237.80093017 4243.69215633 4097.47441941],0.3031338018765865,[0.54054583 0.37004246 0.23038138 0.07156554],0.45610411889663455
897,160603519,[0.99216968 0.992148   0.99242706 0.99233684 0.99229786],0.9922758888531191,[0.42247763 0.42321228 0.42340464 0.4238534  0.42404629],280.71164326638075,[281.07233751 280.91342428 280.83104353 280.57430977 280.16710123],0.801291043158203,[0.85974121 0.82325255 0.78871144 0.77465827 0.76009175],0.4233988492852089
898,161190740,[0.99789169 0.99843314 0.99871412 0.99912015 0.99588096],0.99800801232829,[0.46939427 0.48263434 0.47279921 0.48526756 0.4800772 ],2274.0224005436494,[2277.1998319  2253.0224596  2281.06477656 2279.42646121 2279.39847346],0.4477108697487012,[0.55582765 0.40756536 0.47819918 0.43600001 0.36096215],0.47803451768616806
899,164463075,[0.99755198 0.99840292 0.99729233 0.99819365 0.9968425 ],0.9976566744380694,[0.43702668 0.48992909 0.43485477 0.48779574 0.43288066],138.7099839822454,[137.84670001 138.28042889 138.69952042 139.15709533 139.56617526],0.7274858948048254,[0.62151532 0.93038752 0.6023331  0.9010851  0.58210843],0.45649738668461026
900,164527723,[0.96462179 0.80542178 0.96701202 0.8068925  0.97357881],0.9035053789462696,[0.42041005 0.41294703 0.42876932 0.41513496 0.4399047 ],984.8703415657143,[989.76764475 985.49637886 984.52674358 982.17148702 982.38945362],0.215297753315265,[0.17104802 0.32932982 0.15726362 0.28063064 0.13821667],0.4234332115376519
901,164557531,[0.59973059 0.60824982 0.59865016 0.61001954 0.597565  ],0.6028430209471736,[0.34880039 0.35873907 0.34862387 0.35915181 0.34808469],970.2769198704489,[969.26693432 969.23103202 970.4074994  970.4765802  972.0025534 ],0.3296977290918467,[0.31180922 0.41475046 0.29330157 0.37134394 0.25728346],0.35267996612281916
902,164674992,[0.91857545 0.89639362 0.9174773  0.89699927 0.91764585],0.9094182963554065,[0.39532002 0.40446779 0.39487089 0.40516757 0.39541712],796.4144430404758,[796.35512736 796.46237009 796.05651625 796.65163401 796.54656749],0.46733539648334277,[0.41119949 0.64193909 0.3676675  0.58466401 0.3312069 ],0.39904868196807775
903,164677806,[0.99014897 0.98679906 0.98881701 0.98469628 0.98707081],0.987506425060114,[0.43401888 0.43442192 0.42725738 0.42932662 0.42466142],1608.6871444995904,[1597.67440893 1602.43225659 1609.27700945 1613.25051997 1620.80152756],0.5596901155244537,[0.64309877 0.70408248 0.51138465 0.55002961 0.38985507],0.42993724409725154
904,164781045,[0.3608801  0.36475718 0.35976806 0.36264096 0.35535837],0.36068093228715625,[0.34704779 0.34942843 0.34762112 0.34995548 0.34653144],1692.617354292683,[1694.88404119 1693.81580775 1692.67648009 1691.59365963 1690.1167828 ],0.2053015009484223,[0.25349749 0.23241477 0.20453082 0.18205466 0.15400977],0.3481168507426745
905,164782264,[0.99793878 0.99914076 0.99793138 0.99913752 0.99795138],0.9984199639651463,[0.43839565 0.50968419 0.43915018 0.51062889 0.44010174],159.48043139940765,[159.74520521 159.62390596 159.46059276 159.32793733 159.24451574],0.7297460546385828,[0.62431104 0.93515842 0.60287376 0.90215773 0.58422932],0.4675921303272054
906,164784457,[0.80573937 0.82291937 0.80134672 0.81935325 0.79769731],0.8094112031443238,[0.36244465 0.38140463 0.36113654 0.38118828 0.36125799],448.63007399078606,[449.64645367 449.08898047 448.51502635 448.13043759 447.76947187],0.4502442998104629,[0.40297116 0.58914702 0.36603772 0.55100647 0.34205913],0.3694864181094592
907,164833847,[0.99916704 0.9992011  0.99916261 0.99919692 0.99913914],0.9991733653333339,[0.48106338 0.48661304 0.48263944 0.48836038 0.48420676],253.071396446675,[253.79930493 253.45539421 253.05691196 252.73657826 252.30879287],0.8812776775015776,[0.90886113 0.91693152 0.86298201 0.88097229 0.83664144],0.4845766008550281
908,169079394,[0.99939446 0.99940048 0.99940756 0.99941002 0.99937087],0.9993966784199294,[0.48790564 0.48582544 0.48621017 0.48554974 0.48482454],406.9731120033871,[405.75334873 406.50369877 406.85708336 407.57422984 408.17719932],0.6641977562503968,[0.83112892 0.70769736 0.62857525 0.57769364 0.57589361],0.4860631058628565
909,169181296,[0.99938172 0.99935556 0.99937095 0.99934244 0.9993579 ],0.9993617137548272,[0.49036353 0.48962727 0.49102087 0.49046255 0.49177148],135.44538966434342,[135.78983587 135.60934888 135.43397488 135.27756028 135.11622842],0.8336534488698923,[0.91918156 0.87906168 0.83253846 0.79260671 0.74487884],0.4906491407645719
910,169814134,[0.9989986  0.9989636  0.99897501 0.99893183 0.99893285],0.9989603790799929,[0.48094231 0.48076002 0.48121302 0.48035638 0.48098171],253.3959493992345,[253.68296659 253.48057133 253.43075646 253.25417878 253.13127384],0.7408824468908553,[0.88238343 0.80587078 0.72449633 0.67186498 0.61979672],0.4808506883410713
